sigla|iata|nombre|municipio|departamento|categoria|latitud|longitud|propietario|explotador|longitud_pista|ancho_pista|pbmo|orientacion|elevacion|resolucion|fecha_construccion|fecha_vigencia|clase|tipo|numero_vuelos_origen|gcd_departamento|gcd_municipio
SHL||SANTA HELENA DE UPIA|Villanueva|Casanare|Aeródromo|4.3397|-72.7428|RUBEN A. PINZON GALINDO|ASAM LTDA.|794|10|2000||462| 3095,000||2013-08-02|1A|Fumigación|54|85|85440
SIR||SIRENAS|Yopal|Casanare|Aeródromo|||||||||||||||190|85|85001
SIS||SANTA ISABEL|Mitú|Vaupés|Aeródromo|||||||||||||||486|97|97001
SJB||SAN JUAN DE URABA|San Juan de Urabá|Antioquia|Aeródromo|||||||||||||||11| 5| 5659
SJE|SJE|JORGE E. GONZALEZ T.|San José del Guaviare|Guaviare|Regional|2.5796|-72.6393|GOBERNACION|DEPARTAMENTO|1450|20|22000||603|  984,000|||2B|Público|32581|95|95001
SJM||SAN JOSE DE MULATOS|Turbo|Antioquia|Aeródromo|8.35|-76.3333|MUNICIPIO|MUNICIPIO|440|20|1300||300| 2989,000|||1A|Público|1| 5| 5837
SJN||SAN JUAN CR|La Gloria|Cesar|Aeródromo|||||||||||||||1|20|20383
SJR||SAN JUAN DE URABA|San Juan de Urabá|Antioquia|Aeródromo|||||||||||||||11| 5| 5659
SJT||SAN JAVIER|Piedras|Tolima|Aeródromo|4.4014|-75.0681|MELENDEZ Y MELENDEZ LTDA|SANIDAD VEGETAL CRUZ|840|10|2000||2992| 1682,000|||1A|Fumigación||73|73547
SKGB||"MARCO FIDEL SUAREZ  ""AFB"""|Cali|Valle del Cauca|Aeródromo|3.45689|-76.496514|||||||||||||117|76|76001
SKTI||"TOLEMAIDA ""AFB"""|Melgar|Tolima|Aeródromo|||||||||||||||472|73|73449
SLC||SABANALARGA|Sabanalarga|Casanare|Aeródromo||||||||||||||||85|85300
SLI||LA BRAMADORA|Orocué|Casanare|Aeródromo|5.1914|-71.7439|SILVANA REYES DIAZ|SILVANA REYES DIAZ|520|10|2000||544| 7088,000|||1A|Privado|2|85|85230
SLI||LA BRAMADORA|Orocué|Casanare|Aeródromo|5.1914|-71.7439|||||||||||||2|85|85230
SLM||SAN LUIS|Granada|Meta|Aeródromo|||||||||||||||4|50|50313
SLO||YAGUARITO|San Carlos de Guaroa|Meta|Aeródromo|||||||||||||||83|50|50680
SLR||LOS FERIA GIRON|San Luis|Tolima|Aeródromo|4.2583|-75.0092|GERARDO HERNANDEZ FERIA|EL MISMO|1050|15|2000||1476| 3870,000|||2A|Privado||73|73678
SLU||SANTA LUCIA|Ábrego|Norte de Santander|Aeródromo|8.0667|-73.2|INCORA LTDA|INCORA|1000|30|4000||4502|  842,000|||2B|Público|1|54|54003
SLU||SANTA LUCIA|Ábrego|Norte de Santander|Aeródromo|8.0667|-73.2|||||||||||||1|54|54003
SLY||MATENOVILLOS|San Luis de Palenque|Casanare|Aeródromo|5.2103|-71.8508|SANTIAGO CAMILO REYES DIAZ|SANTIAGO CAMILO REYES DIAZ|580|15|2000||584| 6667,000|||1A|Privado|3|85|85325
SMA||AGUAS BLANCAS|San Martín|Cesar|Aeródromo|||||||||||||||5|20|20770
SMD||SABANETA|San Martín|Cesar|Aeródromo|8.0268|-73.5169|ALVARO ESCOBAR SAAVEDRA|ALVARO ESCOBAR SAAVEDRA|1000|18|5000||318| 2494,000||2017-06-03|1A|Privado|12|20|20770
SMR|SMR|SIMON BOLIVAR|Santa Marta|Magdalena|Internacional|11.1197|-74.2473|AEROCIVIL|AEROCIVIL -ORIENTE S.A.S.|1700|40|||22|  352,000|1968-05-17||3C|Aerocivil|45781|47|47001
SMT||LA CAPRICHOSA|San Martín|Meta|Aeródromo|||||||||||||||20|50|50689
SNF||SAN FELIPE CA|Orocué|Casanare|Aeródromo|||||||||||||||3|85|85230
SNG||SANTIAGO No.1|Maní|Casanare|Aeródromo|||||||||||||||125|85|85139
SNL||HIPILANDIA|San Martín|Cesar|Aeródromo|7.8899|-73.4588|PALMAS DEL CESAR S.A|PALMAS DEL CESAR S.A.|620|18|4000||311|  122,000||2018-02-03|1A|Privado|390|20|20770
SNM||LA DIVA|Santa Marta|Magdalena|Aeródromo|11.2448|-73.7165|INVERSIONES TIN S.A.S.|ASA S.A.S.|620|10|2000||5249| 5383,000||2017-11-07|1A|Fumigación|8|47|47001
SNP||SAN PABLO|Lorica|Córdoba|Aeródromo|9.0598|-75.7804|PROAGROCOR  S.A.|AEROPENORT LTDA.|650|10|2000||15|  707,000||2017-04-08|1A|Fumigación|14|23|23417
SNR||SAN MARTIN|San Martín|Meta|Regional|3.7023|-73.6881|AEROCIVIL|AEROCIVIL|700|15|3000||1380|  644,000|1967-06-05||1A|Aerocivil|181|50|50689
SNU||SAN MIGUEL|San Carlos de Guaroa|Meta|Aeródromo|||||||||||||||18|50|50680
SOR||EL RINCON DE MUCURA|San Onofre|Sucre|Aeródromo|9.7743|-75.6382|INVERSIONES EL RINCON DE MUCURA|INVER. EL RINCON DE MUCURA|900|15|6400||10| 1443,000|||2A|Privado|36|70|70713
SOX|SOX|ALBERTO LLERAS CAMARGO|Firavitoba|Boyacá|Regional|5.6765|-72.9698|MUNICIPIO SOGAMOSO|MUNICIPIO SOGAMOSO|1500|24|||8149|  102,000|||3C|Público|224|15|15272
SPD||SAN PEDRO DE URABA|San Pedro de Urabá|Antioquia|Aeródromo|8.2898|-76.3748|MUNICIPIO|MUNICIPIO|853|14|6400||417|  984,000|||1A|Público|821| 5| 5665
SPE||SAN PEDRO CORAL|Buenavista|Sucre|Aeródromo|||||||||||||||35|70|70110
SPO||SAN PABLO - INCORA|María la Baja|Bolívar|Aeródromo|10.0472|-75.2653|INCORA LTDA|FALAN|720|18|2000||54| 8827,000|||1B|Público|5|13|13442
SQE||SAN LUIS DE PALENQUE|San Luis de Palenque|Casanare|Aeródromo|5.4175|-71.7308|MUNICIPIO|MUNICIPIO|940|20|12202||700| 3660,000|||1A|Público|1|85|85325
SRB||SANTA ROSA DE SIMITI|Simití|Bolívar|Aeródromo|||||||||||||||3|13|13744
SRO|SSL|SANTA ROSALIA|Santa Rosalía|Vichada|Aeródromo|5.1337|-70.8718|CORREGIMIENTO|CORREGIMIENTO|800|25|12202||500|  264,000|||1A|Público|2018|99|99624
SRS|SRS|EL ALGARROBO|San Marcos|Sucre|Aeródromo|8.6874|-75.1624|AEROCIVIL|AEROCIVIL|1200|136|6000||135| 3890,000|||2A|Aerocivil|354|70|70708
SRT||LA LOMA|San Martín|Meta|Aeródromo|3.6742|-73.4039|INVERSIONES BOHORQUEZ CASTAÑO E HIJOS|FAGAN S. EN C.|840|10|2000||852| 5185,000||2016-10-03|1A|Fumigación|6|50|50689
SRV||LOS COLONIZADORES|Saravena|Arauca|Aeródromo|||||||||||||||1472|81|81736
SSC||SALA 77|Valledupar|Cesar|Aeródromo|10.3522|-73.3298|ALBERTO MARIO VARGAS|AMA LTDA.|600|15|2000||381| 4444,000|||1A|Fumigación|1|20|20001
SSE||SAN JOSE-EFA|Lérida|Tolima|Aeródromo|||||||||||||||1|73|73408
SSL||FALCON|Saldaña|Tolima|Aeródromo|||||||||||||||1|73|73671
STA||EL EDEN|Santa Ana|Magdalena|Aeródromo|9.5197|-74.3392|JORGE IGNACIO AGUDELO|JORGE I. AGUDELO RESTREPO|840|18|5700||164| 4941,000||2017-10-01|1A|Privado|8|47|47707
STB||SANTA BARBARA|Cumaral|Meta|Aeródromo|||||||||||||||63|50|50226
STR||SANTA RITA DE ITUANGO|Ituango|Antioquia|Aeródromo|7.3348|-75.6137|MUNICIPIO|MUNICIPIO|700|15|2300||6400| 2798,000|||1B|Público|11| 5| 5361
SVI|SVI|EDUARDO FALLA SOLANO|San Vicente del Caguán|Caquetá|Regional|2.1522|-74.7663|AEROCIVIL|AEROCIVIL|1500|26|||875|  141,000|1987-02-02||3C|Aerocivil|5161|18|18753
SVT||SAN VICENTE DE CHUCURI|San Vicente de Chucurí|Santander|Aeródromo|6.9056|-73.4339|MUNICIPIO|MUNICIPIO|540|15|3000||1784| 5854,000|||1A|Público|974|68|68689
SXG||SAN GERARDO|El Cerrito|Valle del Cauca|Aeródromo|3.742|-76.3899|CARLOS ALBERTO ARANGO N.|EL MISMO|340|10|400||3200| 5387,000|||UL|Privado||76|76248
TAP|TCD|TARAPACA|Tarapacá|Amazonas|Aeródromo|-2.8957|-69.7497|GOBERNACION|EL MISMO|1080|14|||243| 3788,000|||2A|Público|891|91|91798
TAR||TARAIRA|Taraira|Vaupés|Aeródromo|-0.5679|-69.6381|MUNICIPIO|MUNICIPIO|820|20|12202||512| 7354,000|||1A|Público|2687|97|97666
TAU||TAURAMENA|Tauramena|Casanare|Aeródromo|||||||||||||||2|85|85410
TBI||TIBIRI|Puerto Gaitán|Meta|Aeródromo|3.95|-71.1333|CORREGIMIENTO|CORREGIMIENTO|650|20|2500||740| 2989,000|||1A|Público|1|50|50568
TBQ|TBD|TIMBIQUI|Timbiquí|Cauca|Aeródromo|2.7786|-77.668|MUNICIPIO|MUNICIPIO|1127|12|||18| 9248,000|||1B|Público|3315|19|19809
TBU||TIBU|Tibú|Norte de Santander|Aeródromo|8.6309|-72.7307|ECOPETROL|ECOPETROL|1400|18|||171|  759,000||2016-03-07|2A|Privado|3994|54|54810
TCA||TAMACA|Agustín Codazzi|Cesar|Aeródromo|||||||||||||||1|20|20013
TCO||LA FLORIDA|San Andrés de Tumaco|Nariño|Nacional|1.8144|-78.749|AEROCIVIL|AEROCIVIL|1600|30|||10|  455,000|1969-05-19||3C|Aerocivil|12101|52|52835
TDA|TDA|TRINIDAD|Trinidad|Casanare|Aeródromo|5.4349|-71.6584|AEROCIVIL|AEROCIVIL|1148|10|12202||560|  644,000|1967-06-05||2A|Aerocivil|4313|85|85430
TDI||ELF TRINIDAD|Trinidad|Casanare|Aeródromo|5.5016|-71.7831|PERENCO COLOMBIA LIMITED|PERENCO COLOMBIA LIMITED|600|18|5000||629| 7235,000||2017-01-03|1A|Privado|3404|85|85430
TES||TESALIA|Tesalia|Huila|Aeródromo|||||||||||||||1|41|41797
TIB||TIERRA BLANCA|Roldanillo|Valle del Cauca|Aeródromo|||||||||||||||34|76|76622
TLO||SAN DIEGO|Tello|Huila|Aeródromo|3.0804|-75.1875|ALICIA SOLANO Y CIA.|SANAR S.A.|620|10|3000||1968|  693,000|||1A|Fumigación|5|41|41799
TLU|TLU|TOLU|Tolú Viejo|Sucre|Regional|9.5095|-75.5859|AEROCIVIL|AEROCIVIL|1350|16|12202||15|  455,000|1969-05-19||2A|Aerocivil|1967|70|70823
TMA||TARQUI|Tauramena|Casanare|Aeródromo|||||||||||||||3|85|85410
TME|TME|GUSTAVO VARGAS|Tame|Arauca|Regional|6.451|-71.7601|AEROCIVIL|AEROCIVIL|2000|30|33112||1199|  343,000|1968-05-03||4C|Aerocivil|5850|81|81794
TNU||PROVIDENCIA|Tauramena|Casanare|Aeródromo|4.9714|-72.5997|SOCIEDAD VALDERRAMA MOYA|SERFABA S.A.S.|710|10|2000||793| 1207,000|||1A|Fumigación|39|85|85410
TOC||TOCARIA|Yopal|Casanare|Aeródromo|||||||||||||||1|85|85001
TPI||TOMACHIPAN|San José del Guaviare|Guaviare|Aeródromo|2.2757|-72.7747|GOBERNACION|JUNTA DE ACCION COMUNAL|500|10|5680||580| 6254,000|||1A|Público|1077|95|95001
TQM||TEQUENDAMA|Aracataca|Magdalena|Aeródromo|||||||||||||||2|47|47053
TQS|SQF|SOLANO|Solano|Caquetá|Aeródromo|0.7458|-75.2344|CORREGIMIENTO(MUNICIPIO)|CORREGIMIENTO(MUNICIPIO)|525|16|2300||860| 3660,000|||1A|Público|1530|18|18756
TRB|TRB|GONZALO MEJIA|Turbo|Antioquia|Aeródromo|8.0745|-76.741|AEROCIVIL|COMODATO- ARMADA|1004|13|12202||7| 3373,000|||2A|Aerocivil|2581| 5| 5837
TRD||PALMARITO 2|Trinidad|Casanare|Aeródromo|5.3322|-71.2347|PERENCO COLOMBIA LIMITED|PERENCO COLOMBIA LIMITED|840|25|12000||459| 5603,000|||1A|Privado|5531|85|85430
TRE||LA ENVIDIA|Tauramena|Casanare|Aeródromo|||||||||||||||2|85|85410
TRI||LOS TOROS|Trinidad|Casanare|Aeródromo|5.4275|-71.2164|HORACIO PAN BARRAGAN|PERENCO COLOMBIA LIMITED|1100|20|12202||450| 1405,000|||1A|Privado|6107|85|85430
TRM||LA CONCORDIA|Tauramena|Casanare|Aeródromo|4.9311|-72.6419|VICTOR H-TORRES Z.|AVIOCOL LTDA.|780|10|3000||813|   78,000|||1A|Fumigación||85|85410
TRP||TARAPACA|Tarapacá|Amazonas|Aeródromo|||||||||||||||891|91|91798
TRR||TRES RIOS|Miraflores|Guaviare|Aeródromo|||||||||||||||61|95|95200
TSI||SANTA BARBARA|Tesalia|Huila|Aeródromo|2.4583|-75.7419||TEA S.A.|545|10|2000||2640||||1A|Fumigación||41|41797
TTM|TTM|TABLON DE TAMARA|Támara|Casanare|Aeródromo|5.7267|-72.1006|AEROCIVIL|AEROCIVIL|1317|30|12202||1650|  644,000|1967-06-05||2C|Aerocivil|13|85|85400
TUE||TUCANES - CA.|Montenegro|Quindío|Aeródromo|4.4758|-75.8411|OMAR LOZANO M.|AEROCLUB TUCANES|210|10|400||3900| 4737,000||2015-09-11|UL|Privado|4|63|63470
TUN||TUNJA|Tunja|Boyacá|Aeródromo|||||||||||||||136|15|15001
UIB|UIB|EL CARAÑO|Quibdó|Chocó|Nacional|5.6908|-76.6412|AEROCIVIL|EN CONCESION-SOACN(Sociedad Operadora de Aeropuertos Centro Norte|1300|30|63196||192|  522,000|1968-07-03||3C|Aerocivil|88706|27|27001
ULQ|ULQ|FARFAN HERIBERTO GIL MAR|Tuluá|Valle del Cauca|Regional|4.0945|-76.2239|MUNICIPIO|MUNICIPIO|1100|45|33112||3132| 1026,000|||2C|Público|1116|76|76834
ULT||ULTRAMOJANA|Caucasia|Antioquia|Aeródromo|||||||||||||||1| 5| 5154
UMB||UMBRIA|Cumaral|Meta|Aeródromo|4.1906|-73.2617|JESUS M. CABALLERO|FARO LTDA.|580|10|2000||757|  689,000|||1A|Fumigación|2|50|50226
URA||PUERTO ESTRELLA|Uribia|La Guajira|Aeródromo|12.35|-71.3|CORREGIMIENTO|CORREGIMIENTO|1180|25|12202||20| 3660,000|||2B|Público|8|44|44847
URM|URI|URIBE|Uribe|Meta|Aeródromo|3.2369|-74.3463|MUNICIPIO|MUNICIPIO|1000|20|||2240| 2404,000|||2B|Público|5192|50|50370
URR|URR|ALI PIEDRAHITA|Urrao|Antioquia|Regional|6.3273|-76.1409|AEROCIVIL|AEROCIVIL|865|10|||6104|  551,000|1968-07-10||2A|Aerocivil|3524| 5| 5847
VAL||VALENCIA|Valencia|Córdoba|Aeródromo|||||||||||||||23|23|23855
VAP||CAMPO ALEGRE|Valledupar|Cesar|Aeródromo|||||||||||||||6|20|20001
VAR||VARSOVIA|San Vicente del Caguán|Caquetá|Aeródromo|||||||||||||||1|18|18753
VAV||VARSOVIA|San Luis|Tolima|Aeródromo|4.0172|-75.1575|MAHECHA Y CASAS|SANIDAD VEGETAL CRUZ|920|10|2000||1200| 1682,000|||1A|Fumigación||73|73678
VCC||EL DIAMANTE|San Carlos de Guaroa|Meta|Aeródromo|3.8844|-73.1595|EFA LTDA.|EFA LTDA.|800|10|2000||686| 2634,000|||1A|Fumigación|21|50|50680
VCI||LA REALIDAD|Villavicencio|Meta|Aeródromo|3.9961|-73.3769|JAVIER DIAZ BARON|COMERCIALIZADORA ECO|860|10|2000||915| 1946,000|||1A|Fumigación||50|50001
VDF||VIGIA DEL FUERTE|Vigía del Fuerte|Antioquia|Aeródromo|6.5681|-76.8877|MUNICIPIO|MUNICIPIO|770|10|||53|  192,000|||1A|Público|6466| 5| 5873
VDP||MADACI|Valledupar|Cesar|Aeródromo|||||||||||||||1|20|20001
VEL||VELASQUEZ|Puerto Boyacá|Boyacá|Aeródromo|||||||||||||||2325|15|15572
VGP|VGZ|CANANGUCHAL|Villagarzón|Putumayo|Regional|0.9785|-76.6064|AEROCIVIL|AEROCIVIL|1300|20|||397| 1270,000|1972-05-09||3B|Aerocivil|5927|86|86885
VIC||EL CONVENTO|Villavicencio|Meta|Aeródromo|4.0227|-73.3529|EFA LTDA.|EFA LTDA.|800|10|2000||837| 2634,000|||1A|Fumigación|64|50|50001
VIH||VISTA HERMOSA|Vistahermosa|Meta|Aeródromo|3.1351|-73.7579|MUNICIPIO|MUNICIPIO|870|15|5670||150| 4559,000|||2A|Público|183|50|50711
VIL||PALMAS DEL CASANARE|Villanueva|Casanare|Aeródromo|||||||||||||||8|85|85440
VLA||VILLANUEVA|Villanueva|Casanare|Aeródromo|4.6371|-72.9498|MUNICIPIO|MUNICIPIO|1300|23|12202||1220| 2807,000|||2B|Fumigación|2140|85|85440
VLE||SEÑORIAS|Villanueva|Casanare|Aeródromo|0.3878|-72.7775|MAURO A. PINILLA VARGAS|TAES LTDA.|760|10|2000||538| 1003,000|||1A|Fumigación||85|85440
VLL||VILLANUEVA|Villanueva|La Guajira|Aeródromo|10.5833|-73.0167|MUNICIPIO|MUNICIPIO|900|20|4000||600| 3660,000|||1A|Público|1|44|44874
VLU||PALMAR DE ORIENTE|Villanueva|Casanare|Aeródromo|4.4924|-72.8408|PALMAR DEL ORIENTE S.A.|PALMAR DEL ORIENTE S.A.|860|15|3000||643| 4892,000||2014-10-11|1A|Privado|53|85|85440
VNL||COLEGIAL|Villanueva|Casanare|Aeródromo|4.4945|-72.7719|SAMOS DE COL. LTDA|FUMIVILLA LTDA|700|10|2000||574| 5913,000|||1A|Fumigación|11|85|85440
VNU||SOCEAGRO|Villanueva|Casanare|Aeródromo|4.4881|-72.8319|SOCEAGRO|ASAM LTDA.|1100|12|2000||649|  174,000|||1A|Fumigación|6|85|85440
VUP|VUP|ALFONSO LOPEZ PUMAREJO|Valledupar|Cesar|Nacional|10.4351|-73.2494|AEROCIVIL|AEROCIVIL -ORIENTE S.A.S.|2100|30|||450|  352,000|1968-05-17||4C|Aerocivil|23158|20|20001
VVA||VILLANUEVA|Turbo|Antioquia|Aeródromo|||||||||||||||69| 5| 5837
VVC|VVC|VANGUARDIA|Villavicencio|Meta|Nacional|4.1684|-73.6147|AEROCIVIL|AEROCIVIL|1940|30|||1366|  499,000|1968-06-12||3C|Aerocivil|117754|50|50001
VVD||LAS BRISAS|Villavicencio|Meta|Aeródromo|||||||||||||||114|50|50001
VVJ||SINAI|Villavieja|Huila|Aeródromo|3.3255|-75.1866|SANIDAD VEGETAL CRUZ VERDE|SANIDAD VEGETAL CRUZ VERDE|600|10|2500||1299| 2136,000|||1A|Fumigación||41|41872
VVL||TAPA - CHICAMOCHA|Villavicencio|Meta|Aeródromo|||||||||||||||3|50|50001
VVN||NEIVA YORK - MILENA|Villavicencio|Meta|Aeródromo|4.0903|-73.2342|COMERCIALIZADORA ECO|COMERCIALIZADORA ECO|790|15|6500||754|  398,000|||1A|Fumigación|3|50|50001
VVU||SANTA ISABEL|Villavicencio|Meta|Aeródromo|3.9873|-73.2091|EFA LTDA.|EFA LTDA.|800|10|2000||689| 2634,000|2012-05-24||1A|Fumigación|1|50|50001
YAG||YAGUARA II|San Vicente del Caguán|Caquetá|Aeródromo|||||||||||||||5|18|18753
YAP||YAPIMA|Mitú|Vaupés|Aeródromo|1.0825|-69.4914|RESGUARDO INDIGENA|GOBERNACION DEL VAUPES|500|15|2300||600| 3423,000|1997-09-16||1A|Público|2|97|97001
YOP||TROMPILLOS|Yopal|Casanare|Aeródromo|5.0932|-72.1807|ALEXANDER RIVERA|CELTA LTDA.|800|15|2000||623| 4736,000|2013-09-06||1A|Fumigación|4|85|85001
YPL||CIENAGA|Yopal|Casanare|Aeródromo|5.2481|-72.8686|ALVARO MALAVER|SER.FUM.AER.CAS-SFA|890|10|2000||609| 4216,000|2014-08-06|2017-09-04|1A|Fumigación|39|85|85001
YPP||GERMAN ALBERTO|Yopal|Casanare|Aeródromo|5.1875|-72.3191|JOSE NELSON PEREZ R.|CELTA LTDA.|800|15|2000||735| 4511,000|2012-08-16|2015-09-07|1A|Fumigación|12|85|85001
YYP||LOS CABROS|Yopal|Casanare|Aeródromo|||||||||||||||2|85|85001
ZPS|AZT|GUILLERMO GOMEZ ORTIZ|Zapatoca|Santander|Aeródromo|6.7674|-73.2846|MUNICIPIO|MUNICIPIO|700|14|2300||5918|   11,000|1968-01-09||1A|Público|30|68|68895
