objectid,key,cod_tramo,codigo_via,pr_inicial,dist_ini,pr_finl,dist_fin,territorial,tramo,sector,administrador,amv,superficie,calzada,ruta,fuente,fecha_fuente,fecha_actualiz,concesion,observacion_invias,estado,observacion_igac,reversion,pr_ini_con,pr_fin_con,ruleid_1,inline_fid,simlnflag,maxsimptol,minsimptol
1073,1,23020,2302,0,0,123,200,25,Alternas a la Troncal de Occidente,Mediacanoa - Ansermanuevo,1,3,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,123+200,1,10160,0,1,1
1182,1,2302123,2302,123,200,142,120,21,Alternas a la Troncal de Occidente,Ansermanuevo - La Virginia,1,1,,2,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,Act. 125-126; 129-130; 133-135,,123+200,142+120,1,10154,0,1,1
1420,1,2302123,2302,142,120,146,725,21,Alternas a la Troncal de Occidente,Ansermanuevo - La Virginia,2,1, ,2, ,IGAC (Contrato 2130/2014),2020/05/15 00:00:00+00,2020/06/17 00:00:00+00, , , ,Act. 125-126; 129-130; 133-135, ,142+120,146+0725,2,10450,1,1,1
981,1,23100,2310,0,0,49,0,11,Acceso a Monteria,Planeta Rica - Montería,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,49+0,2,9953,1,1,1
1207,1,24010,2401,0,0,75,0,8,Circuitos Ecoturisticos Huila - Cauca,Patico - Candelaria,1,2,,1,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,Act. seg 0-12; 68-75,,0+0,75+0,1,10185,0,1,1
944,1,24020,2402,0,0,100,368,14,Transversal Huila - Cauca,Candelaria - Laberinto,1,2,,2,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,Act. seg 47-49; 52-54,,0+0,100+368,1,9919,0,1,1
977,1,25NRD0,2501,0,40,83,0,17,Troncal de Occidente,Puente internacional de Rumichaca - San Juan de Pasto,2,,,1,,Google Maps,1970/01/01 00:00:00+00,2015/12/09 00:00:00+00,,,3d_mal_oeste,,,0+40,83+0,2,10282,0,1,1
1200,1,25010,2501,0,0,0,40,17,Troncal de Occidente,Puente Internacional Rumichaca,2,2,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,0+40,2,10180,0,1,1
1190,1,250236,2502,36,0,124,599,17,Troncal de Occidente,Cano - Mojarras,1,4,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,36+0,124+599,1,10170,0,1,1
1191,1,25025,2502,5,0,36,0,17,Troncal de Occidente,San Juan de Pasto - Cano,1,4,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,DEVUELTA CONCESIÓN DEVINAR (4-MAY-2015). STAND-BY PASTO-POPAYÁN,,,,,5+0,36+0,1,10171,0,1,1
1178,1,25030,2503,0,0,121,0,8,Troncal de Occidente,Mojarras - Popayán,1,7,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,121+0,1,10166,0,1,1
843,1,2504106,2504,98,20,116,776,25,Alternas a la Troncal de Occidente,Puente Valencia sobre el río Cauca - Cali,1,2,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2020/02/11 00:00:00+00,,,,,,98+0020,116+0776,1,1230,0,1,1
1265,1,2504106,2504,106,549,116,776,25,Alternas a la Troncal de Occidente,Jamundí - Cali,1,2,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,106+549,116+776,1,10259,0,1,1
1337,1,25040,2504,98,20,106,500,25,Alternas a la Troncal de Occidente, Puente Valencia sobre el río Cauca-Crucero Jamundí,1,2,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,PR final es 106+1500 en cartografia,,,,98+020,106+500,1,10344,0,1,1
1388,1,25040,2504,91,0,98,20,8,Alternas a la Troncal de Occidente,Ye de Villa Rica - Jamundí,1,,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,PR final es 106+1500 en cartografia,,,,91+0,98+020,1,10423,1,1,1
1416,1,25040,2504,0,0,77,0,8,Troncal de Occidente,Popayán - Santander de Quilichao,2, , ,2, ,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2020/06/17 00:00:00+00, ,PR final es 106+1500 en cartografia, , , ,0+0,91+0,2,10448,1,1,1
1436,1,25040,2504,77,0,91,0,8,Troncal de Occidente,Santander de Quilichao - Ye de Villa Rica,1, , ,2, ,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2020/06/17 00:00:00+00, ,PR final es 106+1500 en cartografia, , , ,77+0,91+0,1,10465,0,1,1
1173,1,250567,2505,67,0,102,575,25,Troncal de Occidente,Buga - Andalucía,3,,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,67+0,102+575,3,10147,0,1,1
1216,1,250519,2505,19,0,25,0,25,Troncal de Occidente,Paso Nacional por Palmira,1,2,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,19+0,25+0,1,10195,0,1,1
1350,4,250525,2505,25,0,67,0,25,Troncal de Occidente,Palmira - Buga,1,,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,25+0,67+0,1,10368,1,1,1
1364,4,25050,2505,0,0,19,0,25,Alternas a la Troncal de Occidente,Cali - Palmira,1,,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,19+0,1,10401,0,1,1
1241,1,250679,2506,79,578,87,725,21,Troncal de Occidente,Cartago - Cerritos,1,,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2020/07/14 00:00:00+00,,,,,,79+578,87+725,1,10248,0,1,1
1304,1,250642,2506,42,550,79,578,25,Troncal de Occidente,La Victoria - Cartago,1,,,2,,WFS ANI,2016/01/01 00:00:00+00,2020/08/24 00:00:00+00,,,,,,42+550,79+578,1,10310,0,1,1
1340,1,25060,2506,0,0,42,550,25,Troncal de Occidente,Andalucía - La Paila -La Victoria,3,,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,42+550,3,10347,1,1,1
1238,1,250737,2507,37,180,55,541,21,Troncal de Occidente,Remolinos - Cauyá,1,1,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,37+180,55+541,1,10217,0,1,1
1239,1,250710,2507,10,545,37,180,21,Troncal de Occidente,La Virginia - Remolinos,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,10+545,37+180,2,10218,1,1,1
1260,1,25070,2507,0,0,0,300,21,Troncal de Occidente,Cerritos ,1,1,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,0+300,1,10254,0,1,1
1261,1,25070,2507,0,300,10,545,21,Troncal de Occidente,Cerritos - La Virginia,1,1,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+300,10+545,1,10255,0,1,1
1252,1,25080,2508,0,0,60,1000,5,Troncal de Occidente,Cauyá - La Felisa,1,1,,2,,Google Maps (DC Criterio Técnico),2016/06/15 00:00:00+00,2016/06/27 00:00:00+00,,,3d_mal_oeste,Act. seg 12-15; 49-50; 55-56,,0+0,60+1000,1,10231,0,1,1
1320,1,250860,2508,60,1000,108,866,5,Troncal de Occidente,La Felisa - La Pintada,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,60+1000,108+866,2,10326,0,1,1
1334,1,250860,2508,108,866,108,1450,5,Troncal de Occidente,La Pintada,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,108+866,108+1450,2,10343,1,1,1
982,1,25090,2509,0,0,54,0,1,Troncal de Occidente,La Pintada - Primavera,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,54+0,2,9954,0,1,1
1250,1,250954,2509,54,0,64,0,1,Troncal de Occidente,Primavera  - Ancón Sur ,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,54+0,64+0,2,10229,0,1,1
1251,1,250954,2509,64,0,72,84,1,Troncal de Occidente,Ancón Sur - Medellín,1,1,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,64+0,72+84,1,10230,0,1,1
983,1,251052,2510,52,474,87,1295,1,Troncal de Occidente,Hoyo Rico - Los Llanos,1,3,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,52+474,87+1295,1,9955,0,1,1
1329,1,25100,2510,0,0,52,474,1,Troncal de Occidente,Medellìn - Hoyo Rico,3,,,2,,Google Maps,1970/01/01 00:00:00+00,2015/12/05 00:00:00+00,,,3d_mal_central,,,0+0,52+474,3,10332,0,1,1
984,1,25110,2511,0,0,124,705,1,Troncal de Occidente,Los Llanos - Tarazá,1,3,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,PR final 124+0702 (Ramon Lobo),rev,,,0+0,124+705,1,9956,0,1,1
972,1,25120,2512,0,0,61,276,1,Troncal de Occidente,Tarazá - Caucasia,1,3,,2,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,Act. seg 62-63,,0+0,61+276,1,9948,0,1,1
1393,1,25120,2512,61,619,63,966,1,Troncal de Occidente,Tarazá - Caucasia,1,3,,2,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,Act. seg 62-63,,61+619,63+966,1,10429,0,1,1
1394,1,25120,2512,61,276,61,619,1,Troncal de Occidente,Tarazá - Caucasia,1,3,,2,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,Act. seg 62-63,,61+276,61+619,2,10430,1,1,1
951,1,25130,2513,0,0,2,780,11,Troncal de Occidente,Paso Nacional por Caucasia,1,2,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,2+780,1,9920,0,1,1
975,1,251363,2513,62,0,66,894,11,Troncal de Occidente,Paso Nacional por Planeta Rica,1,2,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,62+0,66+894,1,9963,1,1,1
1399,1,25133,2513,2,780,62,0,11,Troncal de Occidente,Caucasia - Planeta Rica,2, , ,1, ,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2020/06/17 00:00:00+00,APP PRIVADA ANTIOQUIA - BOLÍVAR (ENTREGA 26-NOV-2015), , , , ,2+780,62+0,2,10434,1,1,1
1441,1,25133,2513,18,876,19,546,11,Troncal de Occidente,Caucasia - Planeta Rica - Antiguo Puente San Jorge,1, , ,1,25,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2020/06/17 00:00:00+00, , , , , ,18+0876,19+0546,1,10476,0,1,1
985,1,25140,2514,0,0,52,0,11,Troncal de Occidente,Planeta Rica - La Ye,1,2,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,52+0,1,9958,0,1,1
1318,1,251452,2514,52,0,114,0,11,Troncal de Occidente,La Ye - Sincelejo,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,52+0,114+0,2,10324,1,1,1
957,1,251525,2515,25,0,108,250,3,Troncal de Occidente,Puerta de Hierro - Carreto,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2020/07/14 00:00:00+00,,PR final 108+0695 (Ramón Lobo),rev,,,25+0,108+250,2,9926,1,1,1
1311,1,25150,2515,0,0,25,0,23,Troncal de Occidente,Sincelejo - Puerta de Hierro,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,25+0,2,10304,0,1,1
1442,1,2515108,2515,108,250,138,695,2,Troncal de Occidente,Carreto - Calamar,2, , ,1, ,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2020/06/17 00:00:00+00,PTA. HIERRO - PALMAR DE VARELA (ENTREGADA 19-AGT-2015),PR inicial 108+0695 (Ramón Lobo),rev, , ,108+250,138+695,2,10482,0,1,1
958,1,25160,2516,0,0,54,0,2,Troncal de Occidente,Calamar - Palmar de Varela,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,PTA. HIERRO - PALMAR DE VARELA (ENTREGADA 19-AGT-2015),,,,,0+0,54+0,2,9927,0,1,1
1339,1,251654,2516,54,0,80,0,2,Troncal de Occidente,Palmar de Varela - Barranquilla,2,,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,PR inicial 80+0753 (Ramón Lobo),rev,,,54+0,80+0,2,10346,1,1,1
1119,1,26010,2601,0,0,17,0,8,Alternas a la Troncal de Occidente,Morales - Piendamó,1,4,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,17+0,1,10114,0,1,1
1330,1,26020,2602,0,0,109,10,8,Transversal Huila - Cauca,Popayán (Crucero) - Guadualejo,1,3,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,109+10,1,10333,1,1,1
1331,1,26020,2602,0,0,109,10,8,Transversal Huila - Cauca,Popayán (Crucero) - Guadualejo,1,3,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,109+10,1,10334,1,1,1
1065,1,27010,2701,0,0,102,0,15,Paralela del Rio Magdalena,Plato -  Salamina,1,1,,1,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,Act. seg 34-37,,0+0,102+0,1,10030,0,1,1
974,2,27020,2702,0,0,63,1505,2,Paralela del Rio Magdalena,Salamina - Palermo,1,1,,1,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,Act. seg 29-30; 58-60; 63-65,,0+0,63+1505,1,9950,0,1,1
1263,1,290118,2901,18,300,36,700,21,Troncal del Eje Cafetero,Armenia-Pereira,2,,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,18+300,36+700,2,10257,0,1,1
1303,1,29010,2901,0,0,18,300,20,Troncal del Eje Cafetero,Armenia-Pereira,2,,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,18+300,2,10309,1,1,1
918,1,290228,2902,28,600,45,0,5,Acceso a Manizales,Chinchiná - Estación Uribe,1,1,,1,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,Act. seg 44-45,,28+600,45+0,1,9893,0,1,1
1197,1,290220,2902,20,500,28,600,5,Troncal del Eje Cafetero,Río Campo Alegre - Chinchiná,2,,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,20+500,28+600,2,10177,0,1,1
1213,1,29020,2902,0,0,5,800,21,Troncal del Eje Cafetero,Puente Mosquera - Cruce Avenida del Ferrocarril,1,1,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,5+800,1,10192,0,1,1
1301,1,29025,2902,5,800,20,500,21,Troncal del Eje Cafetero,La Romelia - Río Campo Alegre,2,,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,5+800,20+500,2,10307,1,1,1
1266,1,290329,2903,29,300,55,348,5,Troncal del Eje Cafetero,La Estrella - La Felisa,2,,,2,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,Act. 51-53; 55-55+348,,29+300,55+348,2,10260,0,1,1
852,1,30010,3001,0,0,54,0,14,Transversal Neiva - San Vicente,Neiva - Balsillas,1,3,,1,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,Act. seg 0-2,,0+0,54+0,1,9852,0,1,1
890,1,300257,3002,57,500,111,0,6,Transversal Neiva - San Vicente,Santo Domingo - Mina Blanca,1,3,,1,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,Act. seg 57-111,,57+500,111+0,1,9875,0,1,1
914,1,30020,3002,0,0,57,500,14,Transversal Neiva - San Vicente,Balsillas - Santo  Domingo,1,3,,2,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,Act. seg 3-4; 7-9;19-20; 36-39,,0+0,57+500,1,9891,0,1,1
1177,1,31050,3105,0,0,50,0,8,Alternas a la Troncal de Occidente,Santander de Quilichao - Río Desbaratado,1,5,,2,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,Act. seg 10-11,,0+0,50+0,1,10165,0,1,1
1217,1,310550,3105,50,0,88,0,25,Alternas a la Troncal de Occidente,Río Desbaratado - Palmira,1,2,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,50+0,88+0,1,10196,0,1,1
853,1,36021,3602,1,0,47,514,24,Alternas Buga - Puerto Inirida,Chaparral - Ortega,1,1,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,1+0,47+514,1,9853,0,1,1
859,1,36030,3603,0,0,36,253,24,Alternas Buga - Puerto Inirida,Ortega - Guamo,1,1,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,36+253,1,9854,0,1,1
1179,1,370177,3701,77,0,87,750,8,Transversal Huila - Cauca,Puerto Valencia - Guadualejo,1,3,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,77+0,87+750,1,10335,0,1,1
1202,1,370177,3701,77,0,87,750,8,Transversal Huila - Cauca,Puerto Valencia - Guadualejo,1,3,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,77+0,87+750,1,10182,0,1,1
1203,2,370155,3701,55,350,77,0,14,Transversal Huila - Cauca,La Plata - Puerto Valencia,1,2,,2,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,Act. seg 60-77,,55+350,77+0,1,10183,0,1,1
1020,1,37020,3702,0,0,42,0,8,Circuitos Ecoturisticos Huila - Cauca,Guadualejo - Irlanda,1,4,,1,,OpenStreetMap.,1970/01/01 00:00:00+00,2016/06/30 00:00:00+00,,,3d_mal_oeste,,,0+0,42+0,1,10133,0,1,1
1415,1,370261,3702,58,255,138,200,8,Circuitos Ecoturisticos Huila - Cauca,Puente Río Negro - El Palo,1,5, ,1, ,IGAC (Contrato 2932/2008),2020/05/29 00:00:00+00,2020/06/17 00:00:00+00, ,PR inicial 53+0000 (Ramón Lobo),rev, , ,58+0255,138+200,1,10447,0,1,1
845,1,400119,4001,0,0,0,0,,Transversal Buenaventura - Villavicencio - Puerto Carreño,Segmentos  Viales fuera de Servicio,1,1, ,2, ,IGAC (Contrato 2932/2008),1970/01/01 00:00:00+00,1970/01/01 00:00:00+00, ,Pasos sin USO, ,, ,19+800,62+408,1,1241,0,1,1
1288,1,40010,4001,0,0,15,0,25,Transversal Buenaventura - Villavicencio - Puerto Carreño,Buenaventura - Intersección Citronela,1,1,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,15+0,1,10286,0,1,1
1297,1,400115,4001,15,0,19,800,25,Transversal Buenaventura - Villavicencio - Puerto Carreño,Intersección Citronela - Córdoba,1,,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,"CONCESIÓN BUGA – BUENAVENTURA, entregada el 19 de agosto de 2016",,,,,15+0,19+800,1,10287,0,1,1
1366,1,400119,4001,19,800,62,408,25,Transversal Buenaventura - Villavicencio - Puerto Carreño,Córdoba - Cruce Ruta 40 (Loboguerrero),1,1,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,19+800,62+408,1,10406,0,1,1
