X,Y,objectid,codigo_via,pr,distanciap,nombre,administra,territoria,latsig,longsig,cat_1,cat_4,cat_5,cat_6,cat_7,link_foto,sector,cat_2,cat_3,ruleid,a_cargo_de,sentido,ubicacion,telefono_peaje,telefono_grua,eje_adicional,eje_adicional_r,eje_grua,cat_e_ie,cat_8,cat_9,cat_ie_10,cat_iee,cat_ieee,cat_iia,cat_eae,cat_ec,cat_e,cat_ie,cat_iie,cat_iiie,cat_ive,cat_ve,cat_vie,cat_viie,d_cat_i,d_cat_ii,d_cat_iii,d_cat_iv,d_cat_v,d_cat_vi,d_cat_vii,d_cat_viii,d_cat_ix,d_cat_ie10,d_cat_iee,d_cat_ieee,d_cat_iia,d_cat_eg,d_cat_ear,d_cat_ea,d_cat_eae,d_cat_ec,d_cat_e,d_cat_ie,d_cat_iie,d_cat_iiie,d_cat_ive,d_cat_ve,d_cat_vie,d_cat_viie
-75.36516595,10.54696941,3803,9006,19,578,BAYUNCA,CONCESION ANI,BOLÍVAR,10,-75.36516595,8000,26400,30200,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Sabanalarga - Barranquilla,8900,19800,2,Autopistas del sol,Ambos sentidos de circulación,Km 19+400 Cartagena - Santa Catalina Vía La Cordialidad,3212057236,3212057227,8700,8400,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Automóviles y Camperos,Camiones y Buses 2 ejes Pequeños,Camiones y Buses 2 ejes Grandes,3 y 4 Ejes,5 Ejes, , , , , , , , ,Eje grúa,Eje remolque,Eje adicional, , , , , , , , , , 
-75.52654659,10.40678505,3882, ,0,0,BAZURTO  (MANGA),CONVIAL,BOLÍVAR,10.40678505,-75.52654659,2300,9600,14800,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Calle 29,4100,0,4,CONVIAL,Ambos sentidos de circulación,Variante Mamonal - Gambote,(57)(5)6609002 - 6607822 - 6609125,(57) (5)6609002 - 6607822 - 6609125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , 
-76.25338316,3.972040719,3927,25505,78,131,BETANIA,DEPARTAMENTO,VALLE DEL CAUCA,11,-76.25331342,8200,34000,37700,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Buga - Andalucía,10600,25000,3,PISA Proyectos de Infraestructura S.A., Sur - Norte // Norte - Sur,Vía Cali - Andalucia  Km 78+225,3155602442,3155602442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , 
-74.68461735,5.203102936,3847,5008,7,975,BICENTENARIO,INVIAS,CUNDINAMARCA,12,1,9300,34200,39800,0,0,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3847.pdf,Honda - Villeta,12000,28200,5,INVIAS,Ambos sentido de circulación,Villeta - Honda - Guaduas,3232059073,No cuenta con servicio,9000,8700,6600,4500,0,0,0,0,0,0,0,0,0,4200,5700,0,0,0,0,0,Categoría I  Automóviles y Camperos,Categoría II Camiones y Buses 2 ejes pequeños,Categoría III Camiones y Buses 2 ejes grandes,Categoría IV 3 y 4 ejes,Categoría V 5 y 6 ejes, , , , , , , , ,Categoría Eje Grúa,Categoría Eje Remolque,Categoría Eje Adicional, , , ,Categoría IE,Categoría IIE, , , , , 
-74.74328304,5.300139438,8405,4510,7,0,BRISAS,CONCESION ANI,Alto Magdalena,0,0,4800,29500,42000,67700,77500, ,Girardot - Cambao - Honda - Puerto Salgar,16100,22000,2,Concesión Alto Magdalena SAS,(Aplica en ambos sentidos),"Km, 11+000",3219738507,3219738507,,,,,,,,,,,,,,,,,,,,,Automóviles - Camperos - Camionetas,Buses,Camiones pequeños de 2 Ejes,Camiones grandes de 2 Ejes,Camiones de 3 y 4 Ejes,Camiones de 5 Ejes,Camiones de 6 o mas Ejes,,,,,,,,,,,,,,,,,,,
-75.42366144,6.395796515,3878,0,0,0,CABILDO,DEPARTAMENTO,ANTIOQUIA,6.39576885,-75.42355837,9200,15900,26100,34900,39000,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Girardota - Hatillo,10200,11100,3, , , ,2892224 - 3108992859,01-8000-522-44-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Automóviles y Camperos,Camiones y Buses 2 Ejes pequeños,Camiones y Buses 2 Ejes grandes,3 y 4 ejes,5 ejes,6 ejes,VII, , , , , , , , , , , , , , , , , , , 
-75.606506,9.465677,3934,9004,44,129,CAIMANERA,CONCESION ANI,CORDOBA,9.49011171,-75.59481605,12800,18900,20200,29400,29500,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Coveñas  - San Onofre,19800,18900,2,Concesión Ruta al Mar,Sur – Norte,Vía Coveñas – Tolú Km 41+150 (Puerto Viejo),3153483271,3216177100,0,0,0,0,0,0,0,0,0,0,0,0,700,700,700,700,700,700,700,700,"Automóviles ,camperos y camionetas",Buses,Camiones pequeños de 2 ejes,Camiones grandes de 2 ejes,Camiones de 3 y 4 ejes,Camiones 5 ejes,Camiones 6 ejes, , , , , , , , , , , ,"CAT ESPECIAL I, II ,III, IV, V, VI, VII", , , , , , , 
-74.41429469,5.065469603,3868,5008,76,1331,CAIQUEROS,CONCESION ANI,CUNDINAMARCA,13,-74.41408613,9300,36100,41500,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Villeta - Bogotá,12100,30000,2,CONCESIÓN SABANA DE OCCIDENTE,Ambos sentidos de circulación,Km.67+800 Bogotá (El Cortijo) – Siberia – La Punta – El Vino – Villeta,5939260 ---------3185577768---------- 3102613190----------- 3002149460,5939260,9300,8900,6500,2100,0,0,0,0,0,0,0,0,0,2200,0,0,0,0,0,0,"Categoría I Automóviles, Camionetas y Camperos",Categoría II Vehículos de 2 ejes,Categoría III Camiones de 3 y 5 ejes,Categoría IV Camiones de 5 ejes,Categoría V Camiones de 6 ejes o más, , , , , , , , ,Categoría Eje Grúa,Categoría Eje Remolque,Categoría Eje Adicional, , , ,Categoría IE, , , , , , 
-75.50256561,4.435821773,3985,4003,39,50,CAJAMARCA,INVIAS,Tolima,14,1,8800,25700,29000,0,0,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3985.pdf,Calarcá - Ibagué,9700,20200,5,INVÍAS,NORTE - SUR,Kilómetro 39+800 del tramo Calarcá - Ibagué,3115732369 - 3103295063,No cuenta con el servicio,9000,8700,6600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Categoría I Automóviles y camperos,Categoría II Buses y Busetas  2 ejes pequeños,Categoría III Camiones y buses  2 ejes grandes,Categoría IV Camiones de 3 y 4 ejes,Categoría V Camiones de 5 ejes, , , , , , , , ,Categoría EJE GRÚA,Categoría EJE REMOLQUE,Categoría EJE ADICIONAL, , , , , , , , , , 
-74.94499546,10.20812679,3950,2515,131,39,CALAMAR,CONCESION ANI,ATLANTICO,15,-74.94499546,8300,24400,27400,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/calamar.jpg,Carreto - Calamar,9000,19200,2,Concesión Montes de Maria,Ambos sentidos de circulación,Km 131 Ruta 2515 Troncal de Occidente,3162954845,3162954845 - #270 Claro,8700,8400,6400,2700,0,0,0,0,0,0,0,0,0,2800,0,0,0,0,0,0,Automóviles y Camperos,Camiones y Buses 2 ejes Pequeños,Camiones y Buses 2 ejes Grandes,3 y 4 Ejes,5 Ejes, , , , , , , , ,Eje grúa,Eje remolque,Eje adicional, , , , , , , , , , 
-74.70381554,5.09244884,3987,4509,5,0,CAMBAO,CONCESION ANI,Alto Magdalena,0,0,9900,25700,36400,59000,67400, ,Tramo que cubre desde Flandes hasta Puerto Salgar,14000,19200,2,Concesión Alto Magdalena,Aplica en ambos sentidos,Km05+892 Ruta 45 Tramo 09,3219738507,3219738507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Automóviles - Camperos - Camionetas,Buses - Busetas - Microbuses,Camiones pequeños de 2 Ejes,Camiones grandes de 2 Ejes,Camiones de 3 y 4 Ejes,Camiones de 5 Ejes,Camiones de 6 o mas Ejes, , , , , , , , , , , , , , , , , , , 
-77.28445244,1.425456082,3862,2502,36,0,CANO,INVIAS,NARIÑO,16,1,10400,0,0,0,0,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3862.pdf,San Juan de Pasto - Cano,11100,0,5,INVIAS,Norte – Sur,Vía Pasto – Mojarras Km 36 Jurisdicción del municipio de Chachagui,No tiene,No cuenta con servicio,,9800,6700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Categoría I Automóviles y camperos,Categoría II Camiones y buses 2 ejes pequeños, , , , , , , , , , , ,Categoría Eje Grúa,Categoría Eje Remolque,Categoría Eje Adicional, , , , , , , , , , 
-75.4848211,8.604856112,3821,2514,26,300,CARIMAGUA,INVIAS,CORDOBA,17,1,12500,18100,32800,52100,60100,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3821.pdf,Planeta Rica - La Ye,18100,18100,5,INVIAS,Sur – Norte,Vía Planeta Rica - Sincelejo Km 26 + 300,3102467110 - 3205221762,No cuenta con servicio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Automóviles y Campero,Camiones y Buses 2 ejes Pequeños,Camiones y Buses 2 ejes Grandes,3 y 4 Ejes,5 Ejes,6 Ejes,7 Ejes, , , , , , , , , , , , , , , , , , , 
-73.91282774,5.104394194,3990,45A04,40,0,CASABLANCA,INVIAS,CUNDINAMARCA,18,1,8500,29600,34600,0,0,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3990.pdf,Bogotá - Ubaté,9200,23800,5,INVIAS,Sur – Norte // Norte – Sur,Cogua – Tausa Km 40+000,No tiene,No hay,10200,10000,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Categoría I Automóviles y Camperos,Categoría II Camiones y Buses 2 ejes pequeños,Categoría III Camiones y Buses 2 ejes grandes,Categoría IV 3 y 4 ejes,Categoría V 5 Ejes, , , , , , , , ,Categoría Eje Grúa,Categoría Eje Adicional Remolque,Categoría Eje Adicional, , , , , , , , , , 
-72.83478884,4.112654617,3876,4008,16,237,CASETABLA,CONCESION ANI,META,19,-72.83478884,4400,4800,19700,25000,28100,http://hermes.invias.gov.co/carreteras/images/peajes/casetabla.jpg,Puerto López - Puerto Gaitán,4800,4800,2,Concesión Autopistas de los Llanos,Oriente,Vía Puerto López – Puerto Gaitán Km 16+250,3102466017,018000918624 Operadores Claro – Movistar #765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Automóviles y Camperos,Camiones y Buses 2 ejes pequeños,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes,CAT VI,CAT VII, , , , , , , , , , , , , , , , , , , 
-75.50592218,10.38301611,3881, ,0,0,CEBALLOS,DISTRITO,BOLÍVAR,10.38301611,-75.50592218,2500,9600,14800,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Corredor de Carga,4100,0,4,CONVIAL,Ambos sentidos de circulación,Variante Mamonal - Gambote,(57) (5)6609002 - 6607822 - 6609125,(57) (5)6609002 - 6607822 - 6609125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , 
-76.46257073,3.557383478,5604,2301,0,0,CENCAR,INVIAS,VALLE DEL CAUCA,20,1,8900,37700,43400,0,0,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/5604.pdf,Cali - Yumbo,10700,28900,5,INVIAS,Sur - Norte // Norte - Sur,Vía Yumbo – Aeropuerto Km 2+950,No cuenta con número,No cuenta con servicio,10700,21200,6600,4600,,,,,,,,6600,,,4900,,,,,,Automóviles y Camperos,Camiones y Buses 2 ejes pequeños,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes,,,,,,,,,Eje Grúa,Eje Adicional Remolque,Eje Adicional,,Eje Cañero,,CAT IE,CAT IIE,,,,,
-75.85996286,4.793408209,3919,2506,85,867,CERRITOS II,INVIAS,RISARALDA,22,1,12500,46300,52900,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,La Victoria - Cartago - Cerritos,14300,35300,5,Concesionaria de Occidente,Sur – Norte,Vía Andalucía – Y de Cerritos PR2506 Km 86,3128509233 - 3113042754 - 3132158,No cuenta con servicio,15800,15600,10700,2700,0,0,0,0,0,0,0,0,0,2600,9300,0,0,0,0,0,Categoría I Automóviles y Camperos,Categoría II Camiones y Buses 2 ejes pequeños,Categoría III Camiones y Buses 2 ejes grandes,Categoría IV 3 y 4 ejes,Categoría V 5 Ejes, , , , , , , , ,Categoría Eje Grúa,Categoría Eje Adicional Remolque,Categoría Eje Adicional, , , ,Categoría Especial IE,Categoría Especial IIE, , , , , 
-74.88048437,4.245525822,3923,4004B,0,6493,CHICORAL,CONCESION ANI,TOLIMA,23,-74.88050851,11200,14600,29500,39400,43400,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Variante Chicoral,12200,11200,2,Concesionaria San Rafael  S.A.,Aplica en ambos sentidos de circulación,Km. 17+0350 de la ruta 4004B que corresponde a la vía Variante de Chicoral,3138863287,3212087489,10100,9900,7100,5900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Categoría I Automóviles y Camperos,Categoría II Camiones y Buses 2 ejes pequeños,Categoría III Camiones y Buses 2 ejes grandes,Categoría IV 3 y 4 ejes,Categoría V 5 Ejes,Categoría VI 6 Ejes,Categoría VII, , , , , , ,Categoría Eje Grúa,Categoría Eje Adicional Remolque,Categoría Eje Adicional, , , ,Categoría Especial IE, , , , , , 
-74.50010709,4.269378399,3991,4005,51,1059,CHINAUTA,CONCESION ANI,CUNDINAMARCA,24,-74.50011468,10700,41800,48100,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Girardot - Silvania - Bogotá (Bosa),12000,25700,2,Concesión Vía 40 Express, Sur - Norte // Norte - Sur,Soacha – Girardot Km 52,3104224687 - 3117872339 - 3117903187,3104224687 - 3117872339 - 3117903187,10100,9800,6600,2700,0,0,0,0,0,0,0,0,0,2600,0,0,0,0,0,0,Categoría I Automóviles y Camperos,Categoría II Camiones y Buses 2 ejes pequeños,Categoría III Camiones y Buses 2 ejes grandes,Categoría IV,Categoría V 5 Ejes, , , , , , , , ,Eje Grúa,Eje Adicional Remolque,Eje Adicional, , , ,Categoría IE, , , , , , 
-74.27182138,4.537533598,3815,4005,109,217,CHUSACA,CONCESION ANI,CUNDINAMARCA,25,-74.27192598,10700,41800,48100,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Girardot - Silvania - Bogotá (Bosa),12000,25700,2,Concesión  Vía 40 Express, Sur - Norte // Norte - Sur,Soacha – Girardot Km 109, 3104224687 - 3117872339 - 3117903187,3104224687 - 3117872339 - 3117903187,10100,9800,6600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Automóviles y camperos.,Camiones y Buses  dos  ejes pequeños.,Camiones y Buses  dos  ejes Grandes.,Categoría IV,Categoría V Cinco ejes., , , , , , , , ,Eje Grúa.,Eje Remolque.,Eje Adicional., , , , , , , , , , 
-76.34316373,3.523539983,5204,2505,16,344,CIAT,INVIAS,VALLE DEL CAUCA,26,1,9000,37800,43500,0,0,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/5204.pdf,Cali - Palmira - Buga,10800,29200,5,INVIAS,Norte – Sur,Vía Cali – Andalucía Km 17+300,No cuenta con número,No cuenta con servicio,10700,21200,6600,4700,,,,,,,,6600,,,8000,,,,,,Categoría I Automóviles y Camperos,Camiones y Buses 2 ejes pequeños,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes,,,,,,,,,Eje Grúa,Eje Remolque,Eje Adicional,,Eje Cañero,,Eje Especial I,Eje Especial II,,,,,
-75.60610872,4.698355839,3866,2901,15,1723,CIRCASIA,CONCESION ANI,QUINDÍO,27,-75.60612749,13800,17600,42900,52600,58600,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Armenia-Pereira,17600,17600,2,Concesión Autopistas del café,Norte Sur y Sur Norte,Vía Armenia - Pereira Km. 16+750,(6) 3282720 3138176567 #850,602 22 33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Categoría I Automóviles y Camperos,Categoría II Camiones y Buses 2 ejes pequeños,Categoría III Camiones y Buses 2 ejes grandes,Categoría IV 3 y 4 ejes,Categoría V 5 Ejes,Categoría VI 6 Ejes,Categoría VII, , , , , , , , , , , , , , , , , , , 
-76.74413654,8.21002779,10406,9001,18,70,CIRILO,ANI,Antioquia,0,0,9000,9900,20500,26500,29700, ,Vía Turbo - Necoclí,9900,9900,2,Concesión Autopistas Urabá,Norte - Sur. Sur - Norte,Vía turbo - Necoclí,3105553979 // #979,3105553979 // #979,,,,,,,,,,,,,,,,,,,,,Categoría I,Categoría II,Categoría III,Categoría IV,Categoría V,Categoría VI,Categoría VII,,,,,,,,,,,,,,,,,,,
-75.07477738,6.536330315,3961,6206,1,240,CISNEROS,CONCESION ANI,ANTIOQUIA,28,-75.07477738,8300,8900,18800,23900,27000,http://hermes.invias.gov.co/carreteras/images/peajes/cisneros.jpg,Cisneros - Alto de Dolores,8900,8900,2,Concesión Vías del Nus – VINUS S.A.S,Aplica en ambos sentidos. Tramo que cubre: Cisneros - Antes de la entrada a la vía secundaria hacia,KM 03+000 RUTA 6206. Via Cisneros - Puerto Berrio,321 812 2264,311 739 5570 – 018000413724 – (4) 8603102,8700,8400,6400,1600,0,0,0,0,0,0,0,0,0,1700,1900,0,0,0,0,0,Categoría I (Automóviles y Camperos),Categoría II Camiones y Buses 2 Ejes pequeños,Categoría III - Camiones y Buses 2 Ejes grandes,Categoría IV - 3 y 4 ejes,Categoría V - 5 ejes,Categoría VI,Categoría VII, , , , , , , , , , , , ,Eje Especial IE,Eje Especial IIE, , , , , 
-75.24303963,6.124607098,3861,6005,3,95,COCORNA,INVIAS,ANTIOQUIA,29,1,12600,21600,43200,61600,61600,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3861.pdf,Santuario - Cruce Ruta 45 (Caño Alegre),19800,17300,5,INVIAS,Sur – Norte,KM 03+100 RUTA 6005 Via Santuario - Puerto Triunfo,No cuenta con número,3208360300 - 3212059197,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,0,0,"Categoria I (Automóviles, camperos y camionetas)",Categoría II Buses,Categoría III - Camiones pequeños de 2 ejes,Categoría III - Camiones grandes de 2 ejes,Categoría V - Camiones de 3 y 4 ejes,Categoría VI - Camiones de 5 ejes,Categoría VII - Camiones de 6 ejes, , , , , , , , , , , , ,Categoría IE, , , , , , 
